Stat ID	Asian	Black	Latino	MHI	% College	 % Eng - Good	% Full-time
104-Latino	0	0	1	33294	0.17270188448992	0.840657101803599	0.373384221083129
106-Latino	0	0	1	38302	0.308990132781094	0.852127982888425	0.388401810233301
108-Latino	0	0	1	36488	0.0928944284648983	0.796763144902493	0.456633442704142
122-Latino	0	0	1	37185	0.265155578112587	0.586032666847592	0.430538681498385
142-Latino	0	0	1	35071	0.182084267144778	0.540490746168663	0.462417520707567
147-Latino	0	0	1	36501	0.227552674230146	0.76779128224333	0.380302407237529
148-Latino	0	0	1	36393	0.230214153473886	0.645023625579499	0.366776203837456
154-Latino	0	0	1	30197	0.26790450928382	0.670677400017128	0.339914670753345
160-Latino	0	0	1	27889	0.145404545510599	0.820394025635934	0.315975703249396
162-Latino	0	0	1	36423	0.110443876153073	0.561155539675701	0.364391445721191
172-Latino	0	0	1	38461	0.213509404642825	0.574233342020676	0.43138400219901
174-Latino	0	0	1	35528	0.135289023199248	0.573963425674452	0.439354750884835
176-Latino	0	0	1	45430	0.200046949774456	0.640132530016188	0.425358501599215
178-Latino	0	0	1	42630	0.159657811796488	0.67843786521231	0.450290851401375
184-Latino	0	0	1	36650	0.140861700028835	0.791431999200187	0.393001390820584
188-Latino	0	0	1	29489	0.082906857727738	0.791526778577138	0.412809895696839
192-Latino	0	0	1	39191	0.200232910329523	0.660181130573248	0.483188599421064
194-Latino	0	0	1	41424	0.139111635968839	0.714349675397358	0.427559851635383
198-Latino	0	0	1	35886	0.189833412768662	0.688237663946045	0.436634739214424
204-Latino	0	0	1	41309	0.160742035742036	0.837625800150001	0.420645099163533
206-Latino	0	0	1	41050	0.233384693092245	0.618060463014757	0.48562356496654
209-Latino	0	0	1	38835	0.137617516081148	0.791829074635484	0.423366383944571
212-Latino	0	0	1	36780	0.17923386859942	0.781369434083897	0.340193556290579
216-Latino	0	0	1	42121	0.254532598830706	0.757677924724036	0.420571142678164
218-Latino	0	0	1	42188	0.176582579723941	0.673029870527067	0.477371268857276
220-Latino	0	0	1	40333	0.166624514762969	0.808174584661639	0.36183219879121
238-Latino	0	0	1	34619	0.290163206395026	0.654773388645081	0.377830295530694
246-Latino	0	0	1	38790	0.163077700294996	0.737811313975162	0.4517947641467
258-Latino	0	0	1	39969	0.144439449053828	0.698821218074656	0.438368860055607
260-Latino	0	0	1	35560	0.137789335131144	0.69654538202011	0.317108292693034
264-Latino	0	0	1	30453	0.140359397765906	0.843435157572338	0.3052929180571
266-Latino	0	0	1	35711	0.116048152123907	0.725719603107389	0.374296834838804
268-Latino	0	0	1	30450	0.194532293879591	0.560079270709473	0.42474830719886
273-Latino	0	0	1	31953	0.121416440000511	0.619650722618595	0.411089685420448
276-Latino	0	0	1	33791	0.136821449310186	0.727951832429444	0.369209285381798
278-Latino	0	0	1	33160	0.184531974655431	0.716693527915036	0.356845142673934
288-Latino	0	0	1	42202	0.237730070515119	0.617676960161249	0.456267351868109
290-Latino	0	0	1	33602	0.234055044820575	0.572440263812304	0.480881922062701
294-Latino	0	0	1	32425	0.173979441317514	0.629663283055116	0.441191820467809
300-Latino	0	0	1	45479	0.166923149895123	0.772346259302781	0.435823060188542
310-Latino	0	0	1	31727	0.17616113031715	0.790258987243912	0.359854366332923
312-Latino	0	0	1	39604	0.171243129171574	0.72199249697362	0.431861319517421
314-Latino	0	0	1	29635	0.169424504197591	0.626039315015693	0.462303048151966
330-Latino	0	0	1	34228	0.249144482467446	0.892912840062381	0.34031485284052
332-Latino	0	0	1	41440	0.163211187899528	0.66862891704139	0.414770227342359
336-Latino	0	0	1	32385	0.18204274793281	0.590463889785814	0.46129541864139
340-Latino	0	0	1	30790	0.192884403493924	0.738672376873662	0.43047626345837
