Stat ID	Asian	Black	Latino	MHI	% College	 % Eng - Good	% Full-time
104-Black	0	1	0	30379	0.17270188448992	0.974681542398712	0.346526826183198
106-Black	0	1	0	41608	0.308990132781094	0.970271333071176	0.389003133568351
108-Black	0	1	0	25468	0.0928944284648983	0.940561403508772	0.345571245186136
122-Black	0	1	0	41118	0.265155578112587	0.97887039809809	0.411189233386859
142-Black	0	1	0	31977	0.182084267144778	0.993613141463741	0.362375022506054
148-Black	0	1	0	42387	0.230214153473886	0.834801951656068	0.386368751341195
160-Black	0	1	0	24169	0.145404545510599	0.975573069269699	0.274790896900354
162-Black	0	1	0	31455	0.110443876153073	0.833232410611303	0.327793049462052
170-Black	0	1	0	24984	0.156613581978711	0.996538614310844	0.272825259954349
172-Black	0	1	0	35077	0.213509404642825	0.988853027796829	0.392113896595709
174-Black	0	1	0	26230	0.135289023199248	0.992727714945884	0.332440114884671
176-Black	0	1	0	34645	0.200046949774456	0.986938694831786	0.323291910525473
178-Black	0	1	0	26883	0.159657811796488	0.976328809784929	0.342596848580002
184-Black	0	1	0	26439	0.140861700028835	0.992640481992905	0.31542032025801
185-Black	0	1	0	21454	0.125146472931802	0.99641393442623	0.265833463521325
192-Black	0	1	0	32807	0.200232910329523	0.995515183143612	0.376271961283508
194-Black	0	1	0	30100	0.139111635968839	0.994130243103665	0.366545360416603
198-Black	0	1	0	32428	0.189833412768662	0.953283974028956	0.374461243913946
206-Black	0	1	0	40013	0.233384693092245	0.980077043267843	0.441678053651224
209-Black	0	1	0	30066	0.137617516081148	0.949477739091785	0.336348408710218
212-Black	0	1	0	28127	0.17923386859942	0.988083569372304	0.320368732250105
216-Black	0	1	0	39597	0.254532598830706	0.924594123171877	0.392486465983932
217-Black	0	1	0	36162	0.15802335052946	0.995638520586183	0.453872978970728
218-Black	0	1	0	28132	0.176582579723941	0.928615031060361	0.358930941375681
220-Black	0	1	0	29516	0.166624514762969	0.993714766110783	0.284798638416641
222-Black	0	1	0	23389	0.0887941534713764	0.991605691056911	0.344530447634077
238-Black	0	1	0	48173	0.290163206395026	0.965585254709923	0.458988881896371
240-Black	0	1	0	22044	0.12242090784044	0.970217698044749	0.254179113964279
246-Black	0	1	0	33303	0.163077700294996	0.994065511514812	0.370400902464422
258-Black	0	1	0	26099	0.144439449053828	0.984698087260908	0.351248332380408
260-Black	0	1	0	27175	0.137789335131144	0.979944210290554	0.251908204650225
264-Black	0	1	0	26128	0.140359397765906	0.990885283814577	0.311477758899511
266-Black	0	1	0	24358	0.116048152123907	0.971018878465514	0.258736676568233
268-Black	0	1	0	30744	0.194532293879591	0.98416994802832	0.35572471340203
273-Black	0	1	0	27316	0.121416440000511	0.996061606813547	0.345379902023516
274-Black	0	1	0	25746	0.116186337480003	0.999557272186007	0.321250046284297
