330M200US248,248,Findlay-Tiffin:OH CSA,131640,123809,1485,46738,47911,33667,6662,33546,17018,88,331,350
330M200US258,258,Fort Wayne-Huntington-Auburn:IN CSA,617198,536207,11284,47822,50316,37761,32751,123547,79935,1994,1098,2207
330M200US260,260,Fresno-Madera:CA CSA,1100197,671943,95958,43701,56415,46949,22214,63291,74349,16560,10899,14580
330M200US264,264,Gainesville-Lake City:FL CSA,336167,244203,14376,40982,47185,50143,12316,36157,50772,869,697,5527
330M200US266,266,Grand Rapids-Wyoming-Muskegon:MI CSA,1395525,1208586,24084,50405,53236,55134,58801,238339,218284,3943,2831,5269
330M200US267,267,Green Bay-Shawano:WI CSA,356890,315730,8071,51441,52984,56600,15854,77609,52805,792,885,1409
330M200US268,268,Greensboro--Winston-Salem--High Point:NC CSA,1610348,1157911,35220,42364,48649,50633,97293,229322,213966,5886,4049,8463
330M200US273,273,Greenville-Spartanburg-Anderson:SC CSA,1384275,1061704,21037,42192,47322,53319,102299,206074,185414,2279,2784,5743
330M200US274,274,Greenville-Washington:NC CSA,220209,135803,3036,40368,50229,47813,7048,20690,28109,275,69,1119
330M200US276,276,Harrisburg-York-Lebanon:PA CSA,1229200,1056739,25167,56678,59205,70344,74685,297893,187754,3255,2543,8396
330M200US277,277,Harrisonburg-Staunton-Waynesboro:VA CSA,247199,221526,3310,46611,48233,36709,21019,52129,36706,85,398,748
330M200US278,278,Hartford-West Hartford:CT CSA,1489503,1163962,63226,67036,75172,84937,51964,217167,301701,5064,5647,23206
330M200US280,280,Hickory-Lenoir:NC CSA,408805,351589,9501,38715,40880,45250,46259,79651,44528,1570,1204,771
330M200US288,288,Houston-The Woodlands:TX CSA,6375765,4213368,425904,56288,75211,78031,110932,413404,706330,40216,39266,156233
330M200US290,290,Huntsville-Decatur-Albertville:AL CSA,678491,519806,10771,49848,54816,66464,42905,95232,107624,810,1508,3873
330M200US292,292,Idaho Falls-Rexburg-Blackfoot:ID CSA,232545,212722,1476,47067,48705,44622,7088,31434,29984,88,139,441
